id,ticket_text,true_category,predicted_category,reasoning,correct,otel_run_name,otel_prompt_version,validator_comment,failure_category
t000,"Hi, I ordered a blender 5 days ago and the tracking page hasn't updated. Can you tell me where it is?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,improved,v2,,
t001,"Hello, I placed an order for a blender 5 days ago, and the tracking information hasn't changed at all. Could you please provide an update on its whereabouts?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,improved,v2,,
t002,"Hey there, it's been 5 days since I ordered a blender, and the tracking link is still showing no updates. What’s going on with my order?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,improved,v2,,
t003,"Hi, I ordered a blender five days back and still no updates on the tracking page. Can you let me know the status of my order?",order_status,order_status,The customer is inquiring about the status and tracking of their order.,True,improved,v2,,
t004,I never received my order and I want my money back.,order_status,order_status,The customer is inquiring about the status of their order and mentions not receiving it.,True,improved,v2,,
t005,"I'm really frustrated because my order still hasn't arrived, and I demand a full refund now.",order_status,order_status,The customer is primarily inquiring about the status of their order.,True,improved,v2,,
t006,"Hello, I hope you're doing well! I’m writing to let you know that my order hasn’t shown up, and I would appreciate it if I could get a refund for it. Thank you!",order_status,order_status,The customer is primarily inquiring about the status of their order.,True,improved,v2,,
t007,"Order #56789 for the wireless headphones was supposed to arrive by now, but it hasn’t. I just want my money back, plain and simple.",order_status,order_status,"The customer is inquiring about the status of their order, specifically its delivery.",True,improved,v2,,
t008,"Order shows delivered last Tuesday but it's not at my door, my neighbor's, or the mailroom. What now?",order_status,order_status,The customer is inquiring about the whereabouts of their order that shows as delivered.,True,improved,v2,,
t009,"I was notified that my order #12345 was delivered last Tuesday, but I can't find it anywhere—definitely not at my place, my neighbor's, or the mailroom. What should I do?",order_status,order_status,The customer is inquiring about the whereabouts of their delivered order.,True,improved,v2,,
t010,"So, my order #98765 says it was delivered on Tuesday, but surprise, surprise—it's nowhere to be seen. Not at my door, my neighbor's, or even in the mailroom. What's the next step?",order_status,order_status,"The customer is inquiring about the whereabouts of their order, which is classified as an order status issue.",True,improved,v2,,
t011,"I just checked my order status for #54321, and it claims to have been delivered last Tuesday. However, I've searched high and low—neither at my door, my neighbor's, nor the mailroom is it to be found. Can you help me?",order_status,order_status,The customer is inquiring about the status of their order and its delivery.,True,improved,v2,,
t012,The website said 2-day shipping. It's been 9 days. Are you kidding me?,order_status,order_status,The customer is inquiring about the delay in shipping and delivery time.,True,improved,v2,,
t013,"I was promised 2-day shipping, but here we are on day 9. What’s going on?",order_status,order_status,The customer is inquiring about the status of their order and the delay in shipping.,True,improved,v2,,
t014,I can't believe it’s taken 9 days for my order to arrive when your site clearly states 2-day shipping. This is ridiculous!,order_status,order_status,The customer is inquiring about the delay in their order delivery.,True,improved,v2,,
t015,"Seriously? The website advertised 2-day shipping, and I'm still waiting after 9 days. This is not acceptable.",order_status,order_status,The customer is inquiring about the delay in shipping and delivery status.,True,improved,v2,,
t016,Tracking link in the email just spins forever. Order #88421.,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,improved,v2,,
t017,"I've been trying to track my order #88421, but the link in the email just keeps spinning. Can someone help?",order_status,order_status,The customer is asking for help with tracking their order.,True,improved,v2,,
t018,The tracking link you sent for my order #88421 is useless—it's just loading endlessly. What gives?,order_status,order_status,The customer is inquiring about the tracking link for their order.,True,improved,v2,,
t019,I've clicked on the tracking link for order #88421 and it's stuck in a never-ending loop. Is this normal?,order_status,order_status,The customer is inquiring about the tracking status of their order.,True,improved,v2,,
t020,I'd like to return the headphones I bought last week and get my money back. They're unopened.,refund_request,refund_request,The customer wants to return the item and get their money back.,True,improved,v2,,
t021,I need to send back the unopened earbuds I ordered last week and would like a full refund. Can you help with that?,refund_request,refund_request,The customer is requesting a full refund for the unopened earbuds.,True,improved,v2,,
t022,"I'd like to initiate a return for the headphones that I purchased last week. They’re still in their original packaging, and I want to get my money back.",refund_request,refund_request,The customer wants to initiate a return to get their money back.,True,improved,v2,,
t023,"I bought some headphones last week, but I want to return them for a refund since they are still unopened. Please assist me with this process.",refund_request,refund_request,The customer wants to return the unopened headphones for a refund.,True,improved,v2,,
t024,Where is my refund? I returned the item two weeks ago and still nothing on my card.,refund_request,refund_request,The customer is inquiring about the status of their refund after returning an item.,True,improved,v2,,
